Water(ml),Date,Time
500,2024-03-30,19:27:00
500,2024-03-30,17:05:00
750,2024-03-30,15:54:00
600,2024-03-30,11:40:00
750,2024-03-30,10:38:00
100,2024-03-30,10:14:00
600,2024-03-30,10:05:00
600,2024-03-30,07:44:00
750,2024-03-30,07:12:00
600,2024-03-30,04:22:00
500,2024-03-30,03:22:00
600,2024-03-30,02:58:00
600,2024-03-30,02:44:00
600,2024-03-28,20:53:00
500,2024-03-28,13:44:00
600,2024-03-28,10:50:00
500,2024-03-28,08:57:00
500,2024-03-28,08:51:00
500,2024-03-28,06:58:00
500,2024-03-28,00:14:00
500,2024-03-25,18:29:00
500,2024-03-25,08:39:00
500,2024-03-23,22:52:00
500,2024-03-23,20:50:00
500,2024-03-23,17:37:00
500,2024-03-23,16:52:00
500,2024-03-23,15:27:00
500,2024-03-23,13:43:00
600,2024-03-20,21:08:00
600,2024-03-19,18:52:00
500,2024-03-19,11:48:00
500,2024-03-19,09:05:00
500,2024-03-19,04:00:00
500,2024-03-17,21:26:00
500,2024-03-17,20:53:00
500,2024-03-17,18:06:00
500,2024-03-17,07:10:00
500,2024-03-17,00:57:00
600,2024-03-16,21:59:00
600,2024-03-16,20:33:00
600,2024-03-16,07:21:00
600,2024-03-16,04:16:00
100,2024-03-16,02:41:00
600,2024-03-14,18:26:00
600,2024-03-14,16:26:00
600,2024-03-14,12:30:00
600,2024-03-14,12:07:00
600,2024-03-14,01:49:00
600,2024-03-11,21:40:00
600,2024-03-11,21:33:00
750,2024-03-11,15:05:00
600,2024-03-11,11:34:00
600,2024-03-11,05:27:00
400,2024-03-11,03:42:00
500,2024-03-11,01:09:00
600,2024-03-11,00:19:00
400,2024-03-11,00:10:00
750,2024-03-11,00:04:00
600,2024-03-09,11:01:00
600,2024-03-09,09:43:00
600,2024-03-08,18:57:00
500,2024-03-08,17:09:00
600,2024-03-08,16:03:00
500,2024-03-08,12:27:00
500,2024-03-08,09:44:00
500,2024-03-08,00:09:00
600,2024-03-06,00:33:00
400,2024-03-05,17:53:00
750,2024-03-05,10:57:00
500,2024-03-05,10:02:00
500,2024-03-05,09:52:00
500,2024-03-04,15:18:00
750,2024-03-04,03:20:00
750,2024-03-02,12:45:00
500,2024-03-01,08:32:00
500,2024-03-01,03:06:00
300,2024-03-01,02:01:00
500,2024-02-29,21:39:00
500,2024-02-29,14:16:00
500,2024-02-29,09:40:00
400,2024-02-28,23:24:00
600,2024-02-28,18:42:00
400,2024-02-28,17:59:00
500,2024-02-28,15:11:00
600,2024-02-28,08:53:00
600,2024-02-28,07:31:00
500,2024-02-28,07:19:00
150,2024-02-28,05:42:00
500,2024-02-28,03:44:00
100,2024-02-28,01:59:00
100,2024-02-28,00:46:00
600,2024-02-26,17:57:00
500,2024-02-25,16:19:00
100,2024-02-23,21:29:00
650,2024-02-23,20:34:00
100,2024-02-23,17:07:00
650,2024-02-23,15:18:00
650,2024-02-23,10:32:00
250,2024-02-23,06:55:00
500,2024-02-23,03:10:00
650,2024-02-23,01:22:00
100,2024-02-23,00:14:00
600,2024-02-20,22:52:00
600,2024-02-20,07:09:00
100,2024-02-20,03:16:00
750,2024-02-19,19:03:00
750,2024-02-19,16:30:00
750,2024-02-19,15:38:00
750,2024-02-19,15:13:00
750,2024-02-19,13:49:00
750,2024-02-19,11:53:00
750,2024-02-19,11:25:00
750,2024-02-19,02:57:00
750,2024-02-19,00:02:00
600,2024-02-15,22:55:00
600,2024-02-15,16:55:00
600,2024-02-15,07:29:00
600,2024-02-13,23:07:00
750,2024-02-13,21:09:00
600,2024-02-12,18:24:00
750,2024-02-12,17:38:00
750,2024-02-12,16:09:00
750,2024-02-12,09:33:00
750,2024-02-12,00:30:00
100,2024-02-11,06:25:00
600,2024-02-11,04:02:00
300,2024-02-10,11:21:00
750,2024-02-10,11:19:00
300,2024-02-10,08:21:00
750,2024-02-08,23:42:00
600,2024-02-08,20:27:00
750,2024-02-08,17:21:00
600,2024-02-08,15:52:00
600,2024-02-08,03:04:00
100,2024-02-07,15:34:00
650,2024-02-07,13:13:00
750,2024-02-06,20:36:00
600,2024-02-06,14:41:00
750,2024-02-06,09:53:00
600,2024-02-05,21:52:00
750,2024-02-05,21:27:00
600,2024-02-05,20:41:00
150,2024-02-05,19:21:00
60,2024-02-05,16:57:00
540,2024-02-05,16:25:00
750,2024-02-05,11:00:00
600,2024-02-05,09:28:00
100,2024-02-05,07:06:00
600,2024-02-05,05:36:00
750,2024-02-05,05:15:00
600,2024-02-05,01:21:00
200,2024-02-02,22:54:00
750,2024-02-02,22:21:00
500,2024-02-02,17:22:00
750,2024-02-02,14:58:00
600,2024-02-02,13:41:00
600,2024-02-02,13:21:00
600,2024-02-02,11:57:00
600,2024-02-02,07:06:00
700,2024-02-01,20:47:00
100,2024-02-01,20:34:00
400,2024-02-01,14:03:00
750,2024-01-30,22:08:00
750,2024-01-30,22:07:00
550,2024-01-30,21:26:00
500,2024-01-30,17:58:00
750,2024-01-30,15:53:00
750,2024-01-30,14:04:00
750,2024-01-30,11:55:00
750,2024-01-30,11:04:00
750,2024-01-30,09:39:00
750,2024-01-30,09:25:00
750,2024-01-30,06:01:00
100,2024-01-30,05:17:00
750,2024-01-30,02:46:00
750,2024-01-30,02:42:00
750,2024-01-29,16:28:00
750,2024-01-29,13:48:00
400,2024-01-29,04:14:00
750,2024-01-29,01:16:00
750,2024-01-29,00:45:00
750,2024-01-27,07:52:00
750,2024-01-27,07:01:00
750,2024-01-27,05:45:00
750,2024-01-25,21:48:00
300,2024-01-25,08:58:00
300,2024-01-24,21:17:00
600,2024-01-24,19:31:00
750,2024-01-24,14:49:00
600,2024-01-24,12:14:00
300,2024-01-24,11:46:00
600,2024-01-24,07:37:00
750,2024-01-23,21:15:00
600,2024-01-23,18:37:00
300,2024-01-23,05:32:00
750,2024-01-21,19:35:00
300,2024-01-21,17:56:00
300,2024-01-21,17:23:00
600,2024-01-21,16:33:00
300,2024-01-21,08:06:00
300,2024-01-21,03:49:00
300,2024-01-20,22:25:00
300,2024-01-20,12:58:00
300,2024-01-20,09:07:00
300,2024-01-20,03:22:00
600,2024-01-18,22:55:00
300,2024-01-18,22:53:00
300,2024-01-18,17:58:00
500,2024-01-18,14:20:00
600,2024-01-18,10:52:00
600,2024-01-18,08:50:00
600,2024-01-18,07:01:00
600,2024-01-18,05:10:00
500,2024-01-18,00:46:00
750,2024-01-18,00:34:00
600,2024-01-16,22:31:00
600,2024-01-16,17:45:00
600,2024-01-16,11:46:00
600,2024-01-16,01:45:00
600,2024-01-15,17:41:00
600,2024-01-14,23:24:00
600,2024-01-14,18:27:00
750,2024-01-14,16:00:00
600,2024-01-13,23:18:00
600,2024-01-13,13:21:00
600,2024-01-13,12:07:00
750,2024-01-13,10:50:00
750,2024-01-12,16:06:00
300,2024-01-12,15:52:00
600,2024-01-12,03:57:00
600,2024-01-11,21:12:00
300,2024-01-11,20:29:00
300,2024-01-11,11:08:00
600,2024-01-11,06:38:00
750,2024-01-11,01:53:00
750,2024-01-09,17:09:00
500,2024-01-08,17:45:00
600,2024-01-08,15:20:00
600,2024-01-08,13:51:00
750,2024-01-07,19:29:00
300,2024-01-07,12:28:00
600,2024-01-06,05:30:00
600,2024-01-06,04:17:00
500,2024-01-05,22:31:00
600,2024-01-05,18:37:00
600,2024-01-05,17:37:00
500,2024-01-05,15:34:00
500,2024-01-05,15:33:00
600,2024-01-05,12:07:00
600,2024-01-05,03:25:00
500,2024-01-05,03:18:00
500,2024-01-05,01:15:00
600,2024-01-04,17:46:00
600,2024-01-04,12:25:00
600,2024-01-04,09:53:00
750,2024-01-04,01:11:00
500,2024-01-03,15:36:00
500,2024-01-03,14:47:00
500,2024-01-03,09:38:00
500,2024-01-03,08:34:00
300,2024-01-03,02:59:00
500,2024-01-03,01:16:00
600,2024-01-02,08:31:00
600,2024-01-02,07:36:00
600,2024-01-02,05:21:00
600,2024-01-02,04:19:00
600,2024-01-01,20:11:00
600,2024-01-01,19:34:00
600,2024-01-01,18:14:00
600,2024-01-01,12:00:00
500,2024-01-01,03:27:00
600,2024-01-01,00:23:00
750,2023-12-30,19:18:00
750,2023-12-30,18:49:00
750,2023-12-30,02:27:00
600,2023-12-30,01:36:00
500,2023-12-29,22:39:00
400,2023-12-29,19:26:00
500,2023-12-29,16:41:00
500,2023-12-29,11:03:00
350,2023-12-29,07:29:00
500,2023-12-29,05:59:00
500,2023-12-29,03:51:00
500,2023-12-28,22:05:00
750,2023-12-28,03:49:00
350,2023-12-27,19:20:00
350,2023-12-27,19:08:00
300,2023-12-27,18:59:00
300,2023-12-27,16:45:00
600,2023-12-27,15:46:00
750,2023-12-27,11:13:00
600,2023-12-27,09:30:00
500,2023-12-27,08:53:00
600,2023-12-27,04:14:00
600,2023-12-26,16:20:00
350,2023-12-26,08:46:00
600,2023-12-26,04:51:00
500,2023-12-25,01:27:00
600,2023-12-24,17:03:00
600,2023-12-24,08:10:00
600,2023-12-23,17:27:00
600,2023-12-23,13:05:00
600,2023-12-23,09:02:00
600,2023-12-23,08:46:00
600,2023-12-23,04:54:00
600,2023-12-23,00:24:00
600,2023-12-21,17:24:00
350,2023-12-21,06:11:00
600,2023-12-21,01:45:00
600,2023-12-21,01:04:00
500,2023-12-20,01:50:00
500,2023-12-19,20:35:00
500,2023-12-19,18:59:00
500,2023-12-19,18:23:00
500,2023-12-19,17:27:00
400,2023-12-19,12:33:00
500,2023-12-19,07:45:00
500,2023-12-19,06:03:00
600,2023-12-19,04:30:00
500,2023-12-19,04:14:00
600,2023-12-18,23:20:00
600,2023-12-18,16:23:00
500,2023-12-18,12:15:00
600,2023-12-18,08:34:00
600,2023-12-18,00:24:00
500,2023-12-17,16:52:00
600,2023-12-16,21:02:00
500,2023-12-16,09:20:00
600,2023-12-16,06:38:00
500,2023-12-16,04:57:00
600,2023-12-16,02:31:00
600,2023-12-15,12:34:00
600,2023-12-15,10:38:00
600,2023-12-14,21:24:00
500,2023-12-14,14:20:00
500,2023-12-14,13:37:00
500,2023-12-14,12:20:00
600,2023-12-13,05:27:00
600,2023-12-13,05:11:00
300,2023-12-12,19:46:00
600,2023-12-12,14:17:00
600,2023-12-12,12:58:00
600,2023-12-11,17:21:00
600,2023-12-11,14:49:00
600,2023-12-11,06:51:00
600,2023-12-11,02:53:00
600,2023-12-11,02:04:00
300,2023-12-08,18:25:00
300,2023-12-08,16:23:00
300,2023-12-08,15:06:00
300,2023-12-08,14:10:00
600,2023-12-08,13:03:00
500,2023-12-07,17:07:00
400,2023-12-07,16:21:00
500,2023-12-07,13:28:00
500,2023-12-07,04:26:00
500,2023-12-06,22:10:00
500,2023-12-06,21:29:00
500,2023-12-06,18:47:00
500,2023-12-06,14:04:00
500,2023-12-05,00:22:00
500,2023-12-03,23:45:00
100,2023-12-03,22:29:00
500,2023-12-03,15:17:00
500,2023-12-03,13:26:00
500,2023-12-03,10:57:00
500,2023-12-03,06:15:00
500,2023-12-01,17:18:00
500,2023-12-01,17:08:00
500,2023-12-01,15:52:00
500,2023-12-01,11:40:00
500,2023-12-01,07:53:00
500,2023-11-30,04:53:00
500,2023-11-29,21:25:00
500,2023-11-29,13:29:00
500,2023-11-28,15:39:00
500,2023-11-28,09:22:00
500,2023-11-27,22:52:00
500,2023-11-27,22:21:00
600,2023-11-27,07:01:00
500,2023-11-26,16:52:00
500,2023-11-26,14:50:00
500,2023-11-26,13:23:00
500,2023-11-26,03:48:00
500,2023-11-26,01:26:00
500,2023-11-25,23:04:00
500,2023-11-25,19:53:00
500,2023-11-25,03:37:00
500,2023-11-25,01:07:00
500,2023-11-24,21:03:00
500,2023-11-24,11:29:00
500,2023-11-24,00:49:00
500,2023-11-23,21:10:00
500,2023-11-23,17:39:00
500,2023-11-23,16:08:00
500,2023-11-23,12:06:00
500,2023-11-23,07:23:00
500,2023-11-23,06:43:00
500,2023-11-22,18:38:00
500,2023-11-22,17:57:00
500,2023-11-22,16:43:00
500,2023-11-22,01:00:00
600,2023-11-21,23:18:00
500,2023-11-21,16:59:00
600,2023-11-21,14:20:00
600,2023-11-21,03:46:00
500,2023-11-21,02:31:00
500,2023-11-20,09:55:00
500,2023-11-20,06:19:00
500,2023-11-20,04:40:00
500,2023-11-19,23:39:00
500,2023-11-19,16:24:00
600,2023-11-19,14:44:00
600,2023-11-19,09:57:00
500,2023-11-19,08:57:00
500,2023-11-19,08:39:00
600,2023-11-18,16:30:00
400,2023-11-18,11:02:00
600,2023-11-18,04:59:00
400,2023-11-17,21:20:00
400,2023-11-17,20:11:00
400,2023-11-17,18:10:00
400,2023-11-17,16:56:00
400,2023-11-17,10:11:00
400,2023-11-17,02:03:00
